95	277	287	302	338	386	397	298	319	330	355	367	389	408	478	541	520	529	613	677	738	879	905	931	957	983	1009	1049	1089	1129	1169	1209	1248	1287	1326	1365	1404	1464	1524	1585	1645	1705	1806	1906	2007	2107	2208	2359	2511	2662	2868	3073	3234	3373	3553	3764	4001	4280	4518	4758	4892	4563
96	240	226	219	235	264	324	348	140	170	195	209	207	238	344	532	613	732	880	964	956	1323	1371	1418	1466	1513	1561	1650	1740	1829	1919	2008	2149	2289	2430	2570	2711	2693	2676	2658	2641	2623	2719	2815	2910	3006	3102	3258	3414	3570	3725	3880	4066	4255	4434	4599	4762	4949	5148	5362	5579	5418
97	490	476	485	503	556	756	802	865	957	1046	1138	1382	1667	2561	4284	4596	5799	6611	6248	7126	7188	7195	7202	7210	7217	7224	7019	6815	6610	6406	6201	6307	6412	6518	6623	6729	6884	7039	7193	7348	7503	7848	8193	8538	8883	9228	9618	10008	10398	10518	11082	11340	10442	10097	10388	10558	11280	11427	11071	10614	10876
98	102	108	112	111	127	135	141	138	151	152	160	179	223	262	509	610	712	830	956	1323	1542	1029	1132	1124	1242	1258	1105	1172	1130	1224	4595	1611	2075	2624	2644	2618	2817	3310	4326	4933	4703	4366	4028	3691	3353	3016	3099	3183	3266	3249	3231	3355	3684	3782	3570	3520	3908	3747	3754	3868	3323
99	1397	1512	1630	1741	1971	2090	2197	2353	2297	2641	2949	3388	4134	4817	5002	5907	5795	6802	8746	10763	12653	12898	13143	13387	13632	13877	14597	15318	16038	16759	17479	18271	19063	19854	20646	21438	23629	25820	28011	30202	32393	33643	34892	36142	37391	38641	38963	39284	39606	37555	35503	36292	36270	36702	38455	41251	41508	44882	48084	49944	52704
101	3783	4421	3137	3484	3811	3959	4194	3957	3913	4398	5004	5030	6312	7810	10309	9891	9782	10562	10223	12812	15558	15748	15938	16127	16317	16507	16905	17304	17702	18101	18499	19076	19653	20231	20808	21385	21954	22522	23091	23659	24228	24291	24354	24417	24480	24543	25204	25865	26526	26635	26744	27667	28666	28523	28786	29013	29736	30412	31046	31725	30591
102	1867	2059	2298	2613	2837	3027	3254	3559	3833	4208	4711	5155	5972	7166	8096	9182	9017	10293	12544	15629	18908	19197	19487	19776	20066	20355	21030	21704	22379	23053	23728	24025	24322	24620	24917	25214	25710	26206	26703	27199	27695	27779	27862	27946	28029	28113	28122	28131	28140	27432	26724	26837	26016	25269	24955	25141	25509	25973	26263	26696	24419
103	1745	1842	1885	1970	2105	2247	2502	2588	2417	2626	3057	3304	3962	3963	4864	5779	5920	6418	5170	4687	5109	5055	5001	4946	4892	4838	5070	5301	5533	5764	5996	6195	6394	6593	6792	6991	6903	6816	6728	6641	6553	6632	6710	6789	6867	6946	6995	7045	7094	6940	6785	6854	6768	6764	6771	6795	6868	6922	7044	7102	6382
104	971	1163	1307	1481	1724	1897	2184	2535	2992	3443	4072	4541	5930	7990	8702	9312	10389	12663	17632	18198	18918	19392	19865	20339	20812	21286	22310	23333	24357	25380	26404	26684	26964	27244	27524	27804	28018	28232	28446	28660	28874	29227	29581	29934	30288	30641	30959	31276	31594	31194	30794	30715	31313	31793	31835	32029	32287	32855	33108	33021	31745
105	777	771	777	771	840	1092	1126	1015	848	999	871	885	991	1147	1407	1546	1805	2167	2591	3195	3730	3772	3815	3857	3900	3942	3765	3588	3410	3233	3056	3116	3176	3237	3297	3357	3399	3442	3484	3527	3569	3733	3898	4062	4227	4391	4612	4833	5054	5047	5040	4987	4952	4939	4956	4958	4818	4816	4794	4769	4617
